id;text;formality_2_categories;formality_3_categories
1;W załączeniu pismo od dyrekcji w sprawie dni wolnych od pracy w 2021 r (i jeden dzień już podany na 2022). Pozdrawiam, Jan Kowalski;1;2
2;Po powrocie do pracy proszę o przesłanie do mnie mailem propozycji planu urlopu na rok 2021, Pozdrawiam, Jan Kowalski ;0;0
3;Dzień dobry. Zgodnie z ustaleniami telefonicznymi przesyłam skan zaświadczenia. Pozdrawiam, Jan Kowalski;1;2
4;Hej przesyłam tabelkę z prośbą o wypełnienie jest potrzebna dla Andrzejowi do statystyki, chodzi o rok 2020, jak wypełnicie możecie mi odesłać a ja zrobię z tego wspólną i wrzucę do wspólnego folderu. Michał;0;0
5;W okresie od 02.07.2021 do 17.07.2021 przebywam na urlopie wypoczynkowym. W ważnych sprawach proszę kontaktować się na teams i oznaczyć wiadomość jako ważną. Z wyrazami szacunku, JK.;1;2
6;Dzień dobry, przesyłam mój plan zajęć wraz z nowymi godzinami pracy. Poniedziałek 17-22, Wtorek 8-10, 17-22, Piątek 8-16. Z wyrazami szacunku, Jan Kowalski.;1;1
7;Proszę o dopisanie osób z listy do osób rozwiązujących zagadnienia w projekcie ABC i tylko w nim. Pozdrawiam, JK.;0;1
8;Życzę Wam pięknych i ciepłych Świąt Bożego Narodzenia, wypełnionych szczęściem i miłością, bez pośpiechu, zmartwień i trosk, w zdrowiu przede wszystkim, z troską o siebie samych i najbliższych. Wasz - Jan Kowalski. ;0;1
9;Dzień dobry, w załączeniu przesyłam PIT-11, Uprzejma prośba o potwierdzenie otrzymania dokumentu. Łączę pozdrowienia, Jan Kowalski.;1;2
10;Cześć, Dzisiaj wdrożyłem najnowszą produkcyjną wersję web serwisu do obsługi portalu ABC. Parametry dostępowe pozostają bez zmian. Pozdrawiam, JK.;0;0
11;Dzień dobry, System został wyposażony w nowe wyszukiwanie zaawansowane, które opracowali nasi Panowie. Myślę, że jest dość intuicyjne. Jeśli potrzeba przeszkolenia/krótkiej prezentacji, proszę o sygnał do CD lub AB. Pozdrawiam, Marek. ;1;2
12;Dzień dobry, mam problem z weryfikacją użytkownika xxxx@xxxx.pl Z góry dziękuję za pomoc. Pozdrawiam, Jan Kowalski;1;2
13;Dzień dobry, nie mogę uzyskac dostępu do poczty ze starej domeny, a potrzebuje potwierdzenia ważnych dokumentów. To nie pierwszy problem tego typu! Proszę o pomoc.;1;1
